p1;p2
0;0
0.161247;0.026084
-6.4267;41.3136
6.5831;43.3372
6.58254;43.3288
6.58178;43.3191
6.58102;43.3094
6.58027;43.2997
6.57972;43.2914
6.57896;43.2817
6.57821;43.272
6.57745;43.2624
6.57669;43.2527
6.57614;43.2444
6.57539;43.2347
6.57463;43.225
6.57387;43.2153
6.57324;43.2065
6.57248;43.1968
6.57181;43.1876
6.57105;43.1779
6.57029;43.1683
6.56966;43.1594
6.5689;43.1497
6.56822;43.1406
6.56746;43.1309
6.56683;43.1221
6.56607;43.1124
6.56531;43.1027
6.56463;43.0935
6.56387;43.0839
6.56324;43.075
6.56248;43.0653
6.56172;43.0557
6.56096;43.046
6.56041;43.0377
6.55965;43.028
6.55889;43.0183
6.55813;43.0086
6.55736;42.9989
6.55681;42.9906
6.55605;42.9809
6.55529;42.9712
6.55453;42.9616
6.55398;42.9533
6.55321;42.9436
6.55245;42.9339
6.55169;42.9242
6.55106;42.9154
6.55037;42.9062
6.54961;42.8965
6.54885;42.8868
6.54821;42.878
6.54745;42.8683
6.54677;42.8592
6.546;42.8495
6.54537;42.8407
6.5446;42.831
6.54384;42.8213
6.54315;42.8121
6.54239;42.8024
6.54176;42.7936
6.54099;42.7839
6.54022;42.7742
6.53967;42.7659
6.53891;42.7563
6.53814;42.7466
6.53737;42.7369
6.53682;42.7286
6.53605;42.7189
6.53529;42.7092
6.53452;42.6995
6.53388;42.6907
6.5332;42.6815
6.53243;42.6719
6.53166;42.6622
6.53103;42.6533
6.53026;42.6437
6.52957;42.6345
6.5288;42.6248
6.52817;42.616
6.5274;42.6063
6.52671;42.5971
6.52594;42.5875
6.52531;42.5786
6.52454;42.5689
6.52377;42.5593
6.52321;42.551
6.52244;42.5413
6.52167;42.5316
6.5209;42.5219
6.52034;42.5136
6.51957;42.5039
6.5188;42.4942
6.51817;42.4854
6.51739;42.4757
6.5167;42.4666
6.51593;42.4569
6.51529;42.4481
6.51452;42.4384
6.51383;42.4292
6.51306;42.4195
6.51242;42.4107
6.51165;42.401
6.51088;42.3913
6.51019;42.3822
6.50955;42.3733
6.50877;42.3637
6.508;42.354
6.50744;42.3457
6.50667;42.336
6.5059;42.3263
6.50534;42.318
6.50456;42.3083
6.50379;42.2986
6.50315;42.2898
6.50237;42.2801
6.50168;42.271
6.50091;42.2613
6.50026;42.2525
6.49949;42.2428
6.49871;42.2331
6.49802;42.2239
6.49738;42.2151
6.4966;42.2054
6.49583;42.1957
6.49527;42.1874
6.49449;42.1778
6.49371;42.1681
6.49315;42.1598
6.49238;42.1501
6.4916;42.1404
6.49095;42.1316
6.49018;42.1219
6.48948;42.1127
6.48884;42.1039
6.48806;42.0942
6.48728;42.0845
6.48659;42.0754
6.48594;42.0666
6.48516;42.0569
6.48439;42.0472
6.48382;42.0389
6.48304;42.0292
6.4824;42.0204
6.4817;42.0112
6.48092;42.0015
6.48014;41.9919
6.4795;41.983
6.47872;41.9733
6.47802;41.9642
6.47737;41.9554
6.47659;41.9457
6.47581;41.936
6.47511;41.9268
6.47447;41.918
6.47369;41.9083
6.47312;41.9
6.47234;41.8903
6.47156;41.8807
6.47091;41.8718
6.47021;41.8627
6.46943;41.853
6.46878;41.8442
6.468;41.8345
6.4673;41.8253
6.46665;41.8165
6.46587;41.8068
6.46509;41.7971
6.46452;41.7888
6.46374;41.7792
6.46295;41.7695
6.46239;41.7612
6.4616;41.7515
6.46082;41.7418
6.46017;41.733
6.45947;41.7238
6.45868;41.7141
6.45803;41.7053
6.45725;41.6956
6.45655;41.6865
-6.60971;43.7013
-6.61067;43.7029
