p1;p2
0;0
0.161245;0.0260234
-6.44117;41.4998
6.59683;43.523
0.103645;-0.0142373
7.16934;51.4082
-7.30903;53.4274
7.44549;55.4398
-7.57938;57.4534
7.71109;59.4655
-7.84043;61.4779
7.9677;63.4881
-8.09279;65.4986
-8.09244;65.4926
-8.09205;65.4863
-8.09166;65.4801
-8.09129;65.474
-8.09089;65.4677
-8.09052;65.4616
-8.09014;65.4554
-8.08974;65.4491
-8.08937;65.4429
-8.08899;65.4367
-8.08859;65.4305
-8.08822;65.4243
-8.08783;65.4181
-8.08744;65.4118
-8.08706;65.4057
-8.08668;65.3995
-8.08629;65.3932
-8.08591;65.3871
-8.08553;65.3809
-8.08515;65.3747
-8.08476;65.3684
-8.08438;65.3622
-8.08399;65.356
-8.08361;65.3498
-8.08322;65.3436
-8.08285;65.3375
-8.08245;65.3312
-8.08208;65.3251
-8.0817;65.3189
-8.0813;65.3126
-8.08092;65.3064
-8.08054;65.3002
-8.08017;65.2941
-8.07977;65.2878
-8.07939;65.2816
-8.07901;65.2755
-8.07863;65.2693
-8.07824;65.263
-8.07786;65.2568
-8.07748;65.2507
-8.07709;65.2444
-8.0767;65.2382
-8.07633;65.2321
-8.07594;65.2259
-8.07555;65.2196
-8.07517;65.2135
-8.07479;65.2073
-8.07441;65.2011
-8.07401;65.1948
-8.07364;65.1887
-8.07325;65.1825
-8.07286;65.1762
-8.07248;65.1701
-8.0721;65.1639
-8.07172;65.1577
-8.07134;65.1515
-8.07094;65.1453
-8.07057;65.1391
-8.07018;65.1329
-8.0698;65.1268
-8.06942;65.1206
-8.06903;65.1144
-8.06865;65.1082
-8.06827;65.102
-8.06787;65.0957
-8.06749;65.0895
-8.06711;65.0834
-8.06673;65.0772
-8.06635;65.0711
-8.06597;65.0649
-8.06558;65.0586
-8.06519;65.0524
-8.06481;65.0462
-8.06443;65.0401
-8.06403;65.0338
-8.06366;65.0277
-8.06327;65.0215
-8.0629;65.0154
-8.06251;65.0092
-8.06213;65.003
-8.06174;64.9967
-8.06136;64.9906
-8.06097;64.9844
-8.06059;64.9782
-8.06021;64.9721
-8.05981;64.9658
-8.05944;64.9596
-8.05905;64.9534
-8.05867;64.9473
-8.05829;64.9411
-8.05791;64.935
-8.05752;64.9288
-8.05713;64.9225
-8.05675;64.9163
-8.05637;64.9102
-8.05599;64.904
-8.05561;64.8979
-8.05522;64.8917
-8.05483;64.8854
-8.05445;64.8793
-8.05407;64.8731
-8.05368;64.8669
-8.0533;64.8607
-8.05292;64.8546
-8.05254;64.8485
-8.05214;64.8422
-8.05176;64.836
-8.05138;64.8298
-8.05099;64.8236
-8.05061;64.8175
-8.05023;64.8113
-8.04985;64.8052
-8.04947;64.799
-8.04907;64.7927
-8.04869;64.7865
-8.04831;64.7804
-8.04792;64.7742
-8.04754;64.7681
-8.04716;64.7619
-8.04678;64.7557
-8.04639;64.7495
-8.04601;64.7434
-8.04563;64.7373
-8.04525;64.7311
-8.04485;64.7248
-8.04447;64.7186
-8.04409;64.7125
-8.0437;64.7063
-8.04332;64.7002
-8.04294;64.694
-8.04256;64.6878
-8.04217;64.6817
-8.04179;64.6755
-8.04141;64.6693
-8.04103;64.6632
-8.04064;64.657
-8.04025;64.6508
-8.03986;64.6446
-8.03948;64.6384
-8.03909;64.6322
-8.03871;64.6261
-8.03833;64.6199
-8.03795;64.6138
-8.03757;64.6076
-8.03718;64.6014
-8.0368;64.5953
-8.03641;64.5891
-8.03603;64.583
-8.03565;64.5768
-8.03527;64.5706
-8.03488;64.5644
-8.0345;64.5583
-8.03411;64.5521
-8.03373;64.546
-8.03335;64.5398
-8.03296;64.5336
-8.03258;64.5275
-8.0322;64.5213
-8.03182;64.5152
-8.03143;64.509
-8.03105;64.5028
-8.03067;64.4967
-8.03028;64.4905
-8.0299;64.4844
-8.02951;64.4782
-8.02913;64.472
-8.02874;64.4658
-8.02836;64.4597
-8.02798;64.4536
-8.02759;64.4474
-8.02721;64.4412
-8.02682;64.435
-8.02644;64.4289
-8.02605;64.4227
-8.02567;64.4166
-8.02529;64.4104
-8.0249;64.4042
-8.02452;64.3981
-8.02414;64.3919
-8.02375;64.3858
-8.02337;64.3796
-8.02298;64.3734
-8.0226;64.3673
-8.02221;64.3611
-8.02183;64.355
-8.02145;64.3488
-8.02106;64.3426
-8.02068;64.3365
-8.02029;64.3303
-8.01991;64.3242
-8.01952;64.318
-8.01915;64.3119
-8.01876;64.3057
-8.01838;64.2996
-8.018;64.2935
-8.01762;64.2873
-8.01723;64.2811
-8.01685;64.275
-8.01646;64.2688
-8.01608;64.2627
-8.0157;64.2565
-8.01531;64.2503
-8.01493;64.2442
-8.01454;64.238
-8.01417;64.232
-8.01377;64.2257
-8.0134;64.2197
-8.01301;64.2135
-8.01263;64.2074
-8.01224;64.2012
-8.01186;64.195
-8.01148;64.1889
-8.01109;64.1827
-8.0107;64.1766
-8.01031;64.1704
-8.00994;64.1643
-8.00956;64.1582
-8.00917;64.152
-8.00879;64.1459
-8.00841;64.1397
-8.00802;64.1335
-8.00763;64.1274
-8.00725;64.1213
-8.00687;64.1152
-8.00649;64.109
-8.00611;64.1029
8.13066;66.112
8.1304;66.1076
8.13012;66.103
8.12983;66.0983
8.12954;66.0936
8.12927;66.0891
8.12897;66.0844
8.12869;66.0797
8.12839;66.075
8.12812;66.0705
8.12783;66.0658
8.12754;66.0611
8.12727;66.0566
8.12697;66.0518
8.12669;66.0472
8.1264;66.0426
8.12612;66.0379
8.12582;66.0332
8.12554;66.0286
8.12526;66.024
8.12497;66.0193
8.12468;66.0146
8.1244;66.01
8.12411;66.0054
8.12382;66.0007
8.12355;65.9961
8.12325;65.9914
8.12297;65.9868
8.12269;65.9822
8.1224;65.9775
8.12211;65.9728
8.12183;65.9682
8.12154;65.9636
8.12125;65.9589
8.12097;65.9543
8.12068;65.9496
8.12039;65.945
8.12012;65.9404
8.11982;65.9357
8.11954;65.931
8.11926;65.9265
8.11897;65.9218
8.11867;65.9171
8.1184;65.9125
8.11811;65.9079
8.11782;65.9032
8.11754;65.8986
8.11725;65.894
8.11696;65.8892
8.11668;65.8847
8.11639;65.88
8.1161;65.8753
8.11582;65.8707
8.11553;65.8661
8.11526;65.8615
8.11496;65.8568
8.11468;65.8521
8.11439;65.8475
8.11411;65.8429
8.11381;65.8382
8.11354;65.8336
8.11325;65.829
8.11296;65.8243
8.11268;65.8197
8.11239;65.8151
8.11211;65.8104
8.11182;65.8058
8.11153;65.8011
8.11125;65.7965
8.11096;65.7918
8.11067;65.7872
8.11039;65.7826
8.1101;65.7779
8.10981;65.7733
8.10953;65.7686
8.10924;65.764
8.10897;65.7594
8.10867;65.7547
8.10838;65.7501
8.10811;65.7455
8.10781;65.7408
8.10752;65.7362
8.10724;65.7315
8.10695;65.7269
8.10668;65.7223
8.10638;65.7176
8.1061;65.713
8.10581;65.7084
8.10552;65.7037
8.10525;65.6992
8.10495;65.6945
8.10467;65.6898
8.10438;65.6852
8.10409;65.6805
8.10382;65.676
8.10352;65.6713
8.10323;65.6666
8.10296;65.6621
8.10266;65.6574
8.10239;65.6528
8.10209;65.6481
8.10182;65.6435
8.10153;65.6389
8.10123;65.6342
8.10096;65.6296
8.10067;65.625
8.10038;65.6204
8.1001;65.6157
8.0998;65.611
8.09952;65.6065
8.09924;65.6018
8.09895;65.5972
8.09866;65.5925
8.09839;65.588
8.09809;65.5833
8.0978;65.5786
8.09752;65.574
8.09723;65.5694
8.09695;65.5648
8.09666;65.5601
8.09638;65.5555
8.09609;65.5509
8.0958;65.5462
8.09552;65.5416
8.09523;65.537
8.09495;65.5324
8.09466;65.5277
8.09438;65.5232
8.09409;65.5184
8.0938;65.5138
8.09351;65.5092
8.09324;65.5046
8.09295;65.5
8.09265;65.4953
8.09238;65.4907
8.09209;65.4861
8.0918;65.4815
8.09151;65.4768
8.09124;65.4722
8.09094;65.4675
8.09066;65.463
8.09038;65.4583
8.09009;65.4537
8.0898;65.4491
8.08951;65.4444
8.08923;65.4398
8.08894;65.4352
8.08866;65.4306
8.08837;65.4259
8.08809;65.4213
8.0878;65.4167
8.08752;65.4121
8.08723;65.4074
8.08695;65.4029
8.08665;65.3982
8.08636;65.3935
8.08609;65.389
8.0858;65.3843
8.08551;65.3797
8.08522;65.375
8.08494;65.3704
8.08465;65.3658
8.08437;65.3612
8.08409;65.3566
8.0838;65.352
8.0835;65.3472
8.08322;65.3427
8.08294;65.338
8.08265;65.3334
8.08236;65.3288
8.08208;65.3242
8.08179;65.3195
8.08151;65.315
8.08122;65.3103
8.08094;65.3058
8.08064;65.301
8.08037;65.2965
8.08008;65.2918
8.07979;65.2872
8.0795;65.2826
8.07923;65.278
8.07893;65.2733
8.07865;65.2688
8.07836;65.2641
8.07808;65.2595
8.07779;65.2548
8.07751;65.2503
8.07721;65.2456
8.07693;65.241
8.07664;65.2364
8.07637;65.2318
8.07608;65.2272
8.07579;65.2226
8.07551;65.218
8.07521;65.2133
8.07494;65.2087
8.07465;65.2041
8.07436;65.1995
8.07407;65.1948
8.07379;65.1903
8.0735;65.1856
8.07322;65.181
8.07293;65.1764
8.07265;65.1718
8.07236;65.1672
8.07207;65.1625
8.0718;65.158
8.0715;65.1533
8.07122;65.1487
8.07093;65.1441
8.07065;65.1395
8.07035;65.1348
8.07008;65.1303
8.06978;65.1256
8.0695;65.121
8.06921;65.1163
8.06893;65.1118
8.06863;65.1071
8.06835;65.1025
8.06806;65.0979
8.06779;65.0933
8.0675;65.0887
8.06721;65.0841
8.06693;65.0795
8.06663;65.0748
8.06635;65.0702
8.06606;65.0656
