p1;p2
0;0
0;0
0.965926;0.258819
0.258819;0.965926
0.707107;-0.707107
0.370891;0.547668
-0.595035;0.288849
-0.965926;-0.258819
0.0366868;0.346046
-0.631722;-0.0571974
-0.130415;0.245235
-0.46462;0.0436135
-0.130415;0.245235
-0.381068;0.0940189
0.213966;-0.19483
-0.392785;0.167929
-0.0117161;0.0739101
0.381068;-0.0940189
-0.199321;0.102442
0.187605;-0.0285319
0.199321;-0.102442
0.0410433;0.0298221
-0.146562;0.058354
0.104063;-0.00681043
0.145107;0.0230117
0.21766;0.0345175
0.28068;-0.00211503
0.100953;0.0218378
0.214549;0.0631657
0.331257;0.0758454
0.446409;0.102849
0.334368;0.0471972
0.244504;0.0591736
0.3581;0.100502
0.428321;0.133494
0.444853;0.117173
0.294591;0.0736735
0.321435;0.0983296
0.316524;0.109572
0.380033;0.1364
0.422754;0.167763
0.381178;0.176833
0.3581;0.100502
0.375408;0.15775
0.481639;0.215941
0.564196;0.269126
0.528984;0.225954
0.413802;0.174801
0.472687;0.22298
0.497653;0.250588
0.565489;0.291728
0.581504;0.326375
0.631437;0.381591
0.5636;0.340451
0.697384;0.471455
0.797249;0.581888
0.76522;0.512595
0.614005;0.383487
0.679952;0.47335
0.763331;0.561318
0.837994;0.650234
0.780762;0.559422
0.705155;0.494868
0.771102;0.584732
0.807961;0.64137
0.749785;0.574921
0.852592;0.721423
0.92631;0.8347
0.910768;0.787872
0.790031;0.628159
0.834661;0.708211
0.897222;0.801475
0.950817;0.888133
0.915152;0.814687
0.854784;0.73483
0.899414;0.814882
0.941852;0.881527
0.985386;0.954876
0.93966;0.86812
0.909476;0.828191
0.954106;0.908244
0.982548;0.961628
1.01492;1.01496
0.935838;0.874884
0.976534;0.954986
0.993874;0.991715
1.04058;1.07846
0.935838;0.874884
1.0144;1.02756
1.02572;1.05765
0.993342;0.985634
1.01387;1.02148
0.998872;0.999157
