testing newton-raphson algorithm with gregory-karney function
point;eps;path;eval;grad;hess;diff
(4,4);0.0005;1001;69002;1001;1001;7.99999
(-4,-4);0.0005;1001;69002;1001;1001;24.0001
(4,-4);0.0005;1001;69002;1001;1001;72
(0,0,0);0.0005;1001;69002;1001;1001;0.000220719
(3,3,3);0.0005;1001;69002;1001;1001;2.99972
(0,0,0,0,0);0.0005;1001;69002;1001;1001;0.000367865
(5,5,5,5,5);0.0005;1001;69002;1001;1001;14.9997


testing steepest descent algorithm with gregory-karney function
point;eps;path;eval;grad;hess;diff
(4,4);0.0005;1001;67002;1001;0;8.00037
(-4,-4);0.0005;1001;67002;1001;0;23.9994
(4,-4);0.0005;1001;67002;1001;0;72.0007
(0,0,0);0.0005;1001;67002;1001;0;0.000736097
(3,3,3);0.0005;1001;67002;1001;0;2.99967
(0,0,0,0,0);0.0005;1001;67002;1001;0;0.00316143
(5,5,5,5,5);0.0005;1001;67002;1001;0;14.9957
