p1;p2
4;-4
4;-4
1.67126;1.82186
2.32882;0.177955
1.67119;1.82202
2.3288;0.178008
1.67121;1.82197
2.32881;0.177981
1.6712;1.82199
2.32879;0.178034
1.67119;1.82202
2.3288;0.178007
1.67121;1.82197
2.32881;0.17798
1.6712;1.82199
2.32879;0.178032
1.67119;1.82202
2.3288;0.178005
1.67121;1.82197
2.32881;0.177978
1.6712;1.822
2.32879;0.178031
1.67119;1.82202
2.3288;0.178004
1.67121;1.82197
2.32881;0.177977
1.6712;1.822
2.32879;0.178029
1.67119;1.82202
2.3288;0.178002
1.67121;1.82197
2.32881;0.177975
1.6712;1.822
2.32879;0.178028
1.67119;1.82203
2.3288;0.178001
1.67121;1.82197
2.32881;0.177974
1.6712;1.822
2.32879;0.178027
1.67119;1.82203
2.3288;0.178
1.67121;1.82197
2.32881;0.177973
1.6712;1.822
2.32879;0.178025
1.67119;1.82203
2.3288;0.177998
1.67121;1.82198
2.32881;0.177971
1.6712;1.822
2.32879;0.178024
1.67119;1.82203
2.3288;0.177997
1.67121;1.82198
2.32881;0.17797
1.6712;1.822
2.32879;0.178022
1.67119;1.82203
2.3288;0.177995
1.67121;1.82198
2.32881;0.177968
1.6712;1.82201
2.32879;0.178021
1.67119;1.82203
2.3288;0.177994
1.67121;1.82198
2.32881;0.177967
1.6712;1.82201
2.32879;0.17802
1.67119;1.82203
2.3288;0.177993
1.67121;1.82198
2.32881;0.177966
1.6712;1.82201
2.32879;0.178018
1.67122;1.82196
2.3288;0.177991
1.67121;1.82198
2.32878;0.178044
1.6712;1.82201
2.32879;0.178017
1.67122;1.82196
2.3288;0.17799
1.67121;1.82198
2.32878;0.178042
1.6712;1.82201
2.32879;0.178015
1.67122;1.82196
2.3288;0.177988
1.67121;1.82199
2.32878;0.178041
1.6712;1.82201
2.32879;0.178014
1.67122;1.82196
2.32881;0.177987
1.67121;1.82199
2.32878;0.17804
1.67119;1.82201
2.32879;0.178013
1.67122;1.82196
2.32881;0.177986
1.6712;1.82199
2.32878;0.178038
1.67119;1.82202
2.3288;0.178011
1.67121;1.82196
2.32881;0.177984
1.6712;1.82199
2.32879;0.178037
1.67119;1.82202
2.3288;0.17801
1.67121;1.82196
2.32881;0.177983
1.6712;1.82199
2.32879;0.178035
1.67119;1.82202
2.3288;0.178008
1.67121;1.82197
2.32881;0.177981
1.6712;1.82199
2.32879;0.178034
1.67119;1.82202
2.3288;0.178007
1.67121;1.82197
2.32881;0.17798
1.6712;1.82199
2.32879;0.178033
1.67119;1.82202
2.3288;0.178005
1.67121;1.82197
2.32881;0.177978
1.6712;1.822
2.32879;0.178031
1.67119;1.82202
2.3288;0.178004
1.67121;1.82197
2.32881;0.177977
1.6712;1.822
2.32879;0.17803
1.67119;1.82202
2.3288;0.178003
1.67121;1.82197
2.32881;0.177976
1.6712;1.822
2.32879;0.178028
1.67119;1.82203
2.3288;0.178001
1.67121;1.82197
2.32881;0.177974
1.6712;1.822
2.32879;0.178027
1.67119;1.82203
2.3288;0.178
1.67121;1.82197
2.32881;0.177973
1.6712;1.822
2.32879;0.178025
1.67119;1.82203
2.3288;0.177998
1.67121;1.82198
2.32881;0.177971
1.6712;1.822
2.32879;0.178024
1.67119;1.82203
2.3288;0.177997
1.67121;1.82198
2.32881;0.17797
1.6712;1.822
2.32879;0.178023
1.67119;1.82203
2.3288;0.177996
1.67121;1.82198
2.32881;0.177969
1.6712;1.82201
2.32879;0.178021
1.67119;1.82203
2.3288;0.177994
1.67121;1.82198
2.32881;0.177967
1.6712;1.82201
2.32879;0.17802
1.67119;1.82203
2.3288;0.177993
1.67121;1.82198
2.32881;0.177966
1.6712;1.82201
2.32879;0.178018
1.67122;1.82196
2.3288;0.177991
1.67121;1.82198
2.32878;0.178044
1.6712;1.82201
2.32879;0.178017
1.67122;1.82196
2.3288;0.17799
1.67121;1.82198
2.32878;0.178043
1.6712;1.82201
2.32879;0.178016
1.67122;1.82196
2.3288;0.177989
1.67121;1.82199
2.32878;0.178041
1.6712;1.82201
2.32879;0.178014
1.67122;1.82196
2.32881;0.177987
1.67121;1.82199
2.32878;0.17804
1.67119;1.82201
2.32879;0.178013
1.67122;1.82196
2.32881;0.177986
1.6712;1.82199
2.32878;0.178038
1.67119;1.82201
2.3288;0.178011
1.67122;1.82196
2.32881;0.177984
1.6712;1.82199
2.32879;0.178037
1.67119;1.82202
2.3288;0.17801
1.67121;1.82196
2.32881;0.177983
1.6712;1.82199
2.32879;0.178036
1.67119;1.82202
2.3288;0.178009
1.67121;1.82197
2.32881;0.177981
1.6712;1.82199
2.32879;0.178034
1.67119;1.82202
2.3288;0.178007
1.67121;1.82197
2.32881;0.17798
1.6712;1.82199
2.32879;0.178033
1.67119;1.82202
2.3288;0.178006
1.67121;1.82197
2.32881;0.177979
1.6712;1.822
2.32879;0.178031
1.67119;1.82202
2.3288;0.178004
1.67121;1.82197
2.32881;0.177977
1.6712;1.822
2.32879;0.17803
1.67119;1.82202
2.3288;0.178003
1.67121;1.82197
2.32881;0.177976
1.6712;1.822
2.32879;0.178028
1.67119;1.82202
2.3288;0.178001
1.67121;1.82197
2.32881;0.177974
1.6712;1.822
2.32879;0.178027
1.67119;1.82203
2.3288;0.178
1.67121;1.82197
2.32881;0.177973
1.6712;1.822
2.32879;0.178026
1.67119;1.82203
2.3288;0.177999
1.67121;1.82198
2.32881;0.177972
1.6712;1.822
2.32879;0.178024
1.67119;1.82203
2.3288;0.177997
1.67121;1.82198
