p1;p2
0.001;10
0.001;10
0.000787341;1.40859
0.000675408;-1.40845
0.000578876;1.40843
0.000496085;-1.40843
0.00042514;1.40844
0.000364363;-1.40843
0.000312259;1.40843
0.000267599;-1.40843
0.000229335;1.40845
0.000196561;-1.40845
0.000168471;1.40844
0.00014439;-1.40844
0.000123751;1.40843
0.000106052;-1.40845
9.08952e-05;1.40843
7.78937e-05;-1.40845
6.67634e-05;1.40842
5.72131e-05;-1.40843
4.90302e-05;1.40844
4.20202e-05;-1.40843
3.60108e-05;1.40844
3.08633e-05;-1.40843
2.64493e-05;1.40843
2.26666e-05;-1.40843
1.94246e-05;1.40844
1.66478e-05;-1.40843
1.42669e-05;1.40842
1.22261e-05;-1.40843
1.04773e-05;1.40845
8.98e-06;-1.40845
7.69663e-06;1.40842
6.59536e-06;-1.40844
5.6524e-06;1.40843
4.84406e-06;-1.40844
4.15151e-06;1.40842
3.55768e-06;-1.40842
3.04866e-06;1.40843
2.61264e-06;-1.40843
2.23901e-06;1.40844
1.91889e-06;-1.40843
1.64448e-06;1.40844
1.40936e-06;-1.40843
1.20782e-06;1.40842
1.03505e-06;-1.40842
8.86992e-07;1.40843
7.60122e-07;-1.40845
6.51486e-07;1.40842
5.58293e-07;-1.40843
4.78438e-07;1.40845
4.1006e-07;-1.40842
3.51401e-07;1.40843
3.01149e-07;-1.40843
2.58087e-07;1.40842
2.21163e-07;-1.40843
1.89533e-07;1.40843
1.62423e-07;-1.40845
1.39213e-07;1.40844
1.19308e-07;-1.40843
1.02249e-07;1.40845
8.76352e-08;-1.40843
7.51012e-08;1.40844
6.4363e-08;-1.40844
5.51628e-08;1.40843
4.72736e-08;-1.40843
4.05119e-08;1.40845
3.47216e-08;-1.40843
2.97568e-08;1.40842
2.5499e-08;-1.40844
2.18535e-08;1.40844
1.87297e-08;-1.40843
1.60513e-08;1.40843
1.37558e-08;-1.40844
1.17895e-08;1.40843
1.01034e-08;-1.40843
8.65834e-09;1.40844
7.42044e-09;-1.40843
6.35916e-09;1.40843
5.44978e-09;-1.40843
4.67044e-09;1.40843
4.00261e-09;-1.40845
3.43063e-09;1.40844
2.94017e-09;-1.40844
2.5199e-09;1.40842
2.15946e-09;-1.40842
1.85049e-09;1.40843
1.58583e-09;-1.40843
1.35907e-09;1.40845
1.16488e-09;-1.40844
9.98325e-10;1.40844
8.55595e-10;-1.40843
7.33217e-10;1.40845
6.28418e-10;-1.40844
5.38567e-10;1.40844
4.61574e-10;-1.40843
3.95574e-10;1.40845
3.39045e-10;-1.40844
2.90577e-10;1.40843
2.4902e-10;-1.40845
2.13429e-10;1.40843
1.82906e-10;-1.40842
1.56741e-10;1.40843
1.34323e-10;-1.40844
1.15119e-10;1.40843
9.86548e-11;-1.40843
8.45451e-11;1.40843
7.24545e-11;-1.40844
6.20956e-11;1.40843
5.32142e-11;-1.40844
4.56068e-11;1.40843
3.90857e-11;-1.40845
3.34992e-11;1.40843
2.87091e-11;-1.40842
2.46015e-11;1.40843
2.10832e-11;-1.40844
1.80695e-11;1.40843
1.54851e-11;-1.40844
1.32713e-11;1.40844
1.13742e-11;-1.40843
9.74775e-12;1.40842
8.35315e-12;-1.40843
7.15864e-12;1.40843
6.13486e-12;-1.40844
5.25796e-12;1.40842
4.50582e-12;-1.40843
3.8614e-12;1.40843
3.30916e-12;-1.40843
2.83582e-12;1.40845
2.43061e-12;-1.40844
2.0832e-12;1.40844
1.78536e-12;-1.40843
1.53004e-12;1.40844
1.31128e-12;-1.40843
1.12378e-12;1.40842
9.62989e-13;-1.40843
8.25272e-13;1.40844
7.07295e-13;-1.40843
6.06144e-13;1.40844
5.19495e-13;-1.40844
4.45226e-13;1.40844
3.81584e-13;-1.40843
3.27013e-13;1.40844
2.80268e-13;-1.40843
2.4019e-13;1.40843
2.05835e-13;-1.40845
1.76416e-13;1.40843
1.51186e-13;-1.40842
1.29559e-13;1.40843
1.11028e-13;-1.40845
9.51604e-14;1.40842
8.15444e-14;-1.40844
6.9886e-14;1.40843
5.98898e-14;-1.40845
5.13313e-14;1.40844
4.3993e-14;-1.40844
3.77029e-14;1.40844
3.23129e-14;-1.40844
2.76928e-14;1.40844
2.3734e-14;-1.40844
2.03412e-14;1.40844
1.74331e-14;-1.40844
1.49413e-14;1.40844
1.28056e-14;-1.40844
1.09751e-14;1.40843
9.40577e-15;-1.40842
8.06003e-15;1.40844
6.90779e-15;-1.40843
5.92002e-15;1.40842
5.07307e-15;-1.40843
4.34748e-15;1.40844
3.726e-15;-1.40844
3.19333e-15;1.40844
2.73678e-15;-1.40845
2.34563e-15;1.40843
2.01017e-15;-1.40844
1.72285e-15;1.40844
1.47655e-15;-1.40844
1.26547e-15;1.40843
1.08449e-15;-1.40842
9.29363e-16;1.40842
7.96394e-16;-1.40844
6.82545e-16;1.40843
5.84937e-16;-1.40844
5.01301e-16;1.40844
4.29643e-16;-1.40843
3.682e-16;1.40844
3.15559e-16;-1.40842
2.70421e-16;1.40842
2.31733e-16;-1.40843
1.98591e-16;1.40843
1.70191e-16;-1.40844
1.45858e-16;1.40843
1.25e-16;-1.40843
1.07123e-16;1.40843
9.18015e-17;-1.40844
7.86763e-17;1.40843
6.74254e-17;-1.40843
5.77826e-17;1.40845
4.95241e-17;-1.40843
4.24407e-17;1.40844
3.63741e-17;-1.40843
3.1172e-17;1.40843
2.67132e-17;-1.40845
2.28961e-17;1.40843
1.96212e-17;-1.40845
1.6817e-17;1.40842
1.44112e-17;-1.40844
1.2351e-17;1.40843
1.0585e-17;-1.40845
9.07215e-18;1.40842
7.77443e-18;-1.40842
6.66234e-18;1.40842
5.70932e-18;-1.40843
4.89271e-18;1.40844
4.19337e-18;-1.40844
3.59392e-18;1.40843
3.0799e-18;-1.40843
2.63951e-18;1.40842
2.26182e-18;-1.40844
1.93851e-18;1.40843
1.66128e-18;-1.40844
1.42383e-18;1.40844
