p1;p2
6;6
6;6
6.96593;6.25882
6.25882;6.96593
5.29289;6.70711
5.03407;5.74118
4.4217;5.12881
5.12881;4.4217
5.04677;3.279
3.46847;2.40781
2.2027;0.611712
2.82777;-1.2381
-0.016298;-3.90539
5.04677;3.279
1.24947;-2.10929
0.624404;-0.25948
-0.477278;0.229829
0.475956;2.95083
1.05609;-0.844259
-1.62389;-1.22614
1.24605;0.152248
-0.667242;-0.766679
-1.62389;-1.22614
-2.20061;0.30741
0.241915;-0.556342
-1.38643;0.0194925
-1.5764;-0.977015
-0.752058;-0.071882
-0.032865;-0.858053
-1.04804;-0.199894
-0.70965;-0.41928
-1.06925;-0.0261947
-0.752058;-0.071882
-1.02684;-0.373593
-1.38643;0.0194925
-0.878846;-0.309587
-0.889448;-0.222738
-1.06925;-0.0261947
-1.04804;-0.199894
-1.22784;-0.00335109
-0.889448;-0.222738
-1.14324;-0.0581977
-1.16445;0.115501
-1.07714;-0.121045
-1.00315;-0.0890421
-0.99525;0.00580824
-1.06135;0.0686556
-1.00315;-0.0890421
-1.0468;0.0292312
-1.12079;-0.0027718
-1.02664;0.00366323
-1.00419;0.0590891
-1.05298;-0.00487376
-1.03282;-0.0304417
-1.0433;0.014313
-1.03631;-0.0155235
-1.04156;0.00685384
-1.0679;-0.00168315
-1.03695;0.00232664
-1.02553;0.0140542
-1.04612;-0.000141761
-1.04151;-0.00466897
-1.03235;-0.00220057
-1.04268;-0.000656464
-1.03811;0.00633914
-1.04066;-0.00191694
-1.04639;-0.00490004
-1.03931;0.000519967
