p1;p2
4;-4
4;-4
0.911176;1.29513
1.98497;-0.00765246
1.22121;1.53144
2.22587;0.119277
1.379;1.64016
2.34333;0.186345
1.45914;1.69235
2.40139;0.221094
1.49957;1.71805
2.43045;0.238599
1.51991;1.73082
2.44501;0.247402
1.53026;1.73699
2.45217;0.252051
1.53532;1.74031
2.45589;0.25416
1.53781;1.74204
2.45762;0.255452
1.5392;1.74268
2.45862;0.255877
1.53976;1.74322
2.45898;0.256325
1.54019;1.74326
2.4593;0.256327
1.54027;1.7435
2.45931;0.256562
1.54045;1.74339
2.45945;0.256457
1.5404;1.74355
2.45957;0.256334
1.54052;1.7434
2.45948;0.256507
1.54045;1.74355
2.45958;0.256371
1.54055;1.74339
2.45948;0.256537
1.54047;1.74353
2.45957;0.256397
1.54057;1.74337
2.45947;0.256562
1.54049;1.74351
2.45956;0.256422
1.54059;1.74334
2.45945;0.256586
1.5405;1.74348
2.45954;0.256445
1.54041;1.74363
2.45944;0.256609
1.54052;1.74346
2.45953;0.256468
1.54043;1.7436
2.45943;0.256632
1.54053;1.74344
2.45951;0.256491
1.54044;1.74358
2.45941;0.256656
1.54054;1.74341
2.4595;0.256515
1.54046;1.74356
2.45959;0.256374
1.54056;1.74339
2.45948;0.256538
1.54047;1.74353
2.45957;0.256397
1.54057;1.74337
2.45947;0.256561
1.54049;1.74351
2.45956;0.25642
1.54059;1.74335
2.45946;0.256584
1.5405;1.74349
2.45954;0.256443
1.54041;1.74363
2.45944;0.256608
1.54051;1.74346
2.45953;0.256466
1.54043;1.7436
2.45943;0.256631
1.54053;1.74344
2.45951;0.25649
1.54044;1.74358
2.45941;0.256654
1.54054;1.74342
2.4595;0.256513
1.54046;1.74356
2.45959;0.256372
1.54056;1.74339
2.45949;0.256536
1.54047;1.74353
2.45957;0.256395
1.54057;1.74337
2.45947;0.256559
1.54048;1.74351
2.45956;0.256418
1.54059;1.74335
2.45946;0.256583
1.5405;1.74349
2.45954;0.256442
1.54041;1.74363
2.45944;0.256606
1.54051;1.74346
2.45953;0.256465
1.54043;1.74361
2.45943;0.256629
1.54053;1.74344
2.45952;0.256488
1.54044;1.74358
2.45941;0.256652
1.54054;1.74342
2.4595;0.256511
1.54046;1.74356
2.45959;0.25637
1.54056;1.7434
2.45949;0.256534
1.54047;1.74354
2.45957;0.256393
1.54057;1.74337
2.45947;0.256558
1.54048;1.74351
2.45956;0.256417
1.54059;1.74335
2.45946;0.256581
1.5405;1.74349
2.45955;0.25644
1.54041;1.74363
2.45944;0.256604
1.54051;1.74347
2.45953;0.256463
1.54043;1.74361
2.45943;0.256627
1.54053;1.74344
2.45952;0.256486
1.54044;1.74358
2.45942;0.25665
1.54054;1.74342
2.4595;0.256509
1.54045;1.74356
2.45959;0.256368
1.54056;1.7434
2.45949;0.256533
1.54047;1.74354
2.45958;0.256392
1.54057;1.74337
2.45947;0.256556
1.54048;1.74351
2.45956;0.256415
1.54058;1.74335
2.45946;0.256579
1.5405;1.74349
2.45955;0.256438
1.54041;1.74363
2.45945;0.256602
1.54051;1.74347
2.45953;0.256461
1.54042;1.74361
2.45943;0.256625
1.54053;1.74345
2.45952;0.256484
1.54044;1.74359
2.45942;0.256649
1.54054;1.74342
2.4595;0.256508
1.54045;1.74356
2.45959;0.256367
1.54055;1.7434
2.45949;0.256531
1.54047;1.74354
2.45958;0.25639
1.54057;1.74338
2.45947;0.256554
1.54048;1.74352
2.45956;0.256413
1.54058;1.74335
2.45946;0.256577
1.5405;1.74349
2.45955;0.256436
1.54041;1.74363
2.45945;0.2566
1.54051;1.74347
2.45953;0.256459
1.54042;1.74361
2.45943;0.256624
1.54052;1.74345
2.45952;0.256483
1.54044;1.74359
2.45942;0.256647
1.54054;1.74342
2.4595;0.256506
1.54045;1.74356
2.45959;0.256365
1.54055;1.7434
2.45949;0.256529
1.54047;1.74354
2.45958;0.256388
1.54057;1.74338
2.45948;0.256552
1.54048;1.74352
2.45956;0.256411
1.54058;1.74335
2.45946;0.256576
1.54049;1.7435
2.45955;0.256434
1.54041;1.74364
2.45945;0.256599
1.54051;1.74347
2.45953;0.256458
1.54042;1.74361
2.45943;0.256622
1.54052;1.74345
2.45952;0.256481
1.54044;1.74359
2.45942;0.256645
1.54054;1.74343
2.45951;0.256504
1.54045;1.74357
2.45959;0.256363
1.54055;1.7434
2.45949;0.256527
1.54047;1.74354
2.45958;0.256386
1.54057;1.74338
2.45948;0.256551
1.54048;1.74352
2.45956;0.256409
1.54058;1.74336
2.45946;0.256574
1.54049;1.7435
2.45955;0.256433
1.54041;1.74364
2.45945;0.256597
1.54051;1.74347
2.45954;0.256456
1.54042;1.74361
2.45943;0.25662
1.54052;1.74345
2.45952;0.256479
1.54044;1.74359
2.45942;0.256643
1.54054;1.74343
2.45951;0.256502
1.54045;1.74357
2.45959;0.256361
1.54055;1.7434
2.45949;0.256526
1.54046;1.74354
2.45958;0.256385
1.54057;1.74338
2.45948;0.256549
1.54048;1.74352
2.45957;0.256408
1.54058;1.74336
2.45946;0.256572
1.54049;1.7435
2.45955;0.256431
1.54041;1.74364
2.45945;0.256595
1.54051;1.74348
2.45954;0.256454
1.54042;1.74362
2.45944;0.256618
1.54052;1.74345
2.45952;0.256477
1.54043;1.74359
2.45942;0.256642
1.54054;1.74343
2.45951;0.256501
1.54045;1.74357
2.4596;0.25636
1.54055;1.74341
2.45949;0.256524
1.54046;1.74355
2.45958;0.256383
1.54056;1.74338
2.45948;0.256547
1.54048;1.74352
