p1;p2
10;10
538.342;-1.20552
548.388;0.210963
649.204;-1.11698
665.426;1.74184
894.675;1.08111
857.365;-1.4504
822.153;1.28664
941.056;-0.652165
717.581;1.15361
909.683;1.88656
898.501;1.24216
893.839;-1.70622
649.804;-1.48793
485.164;0.74145
486.535;-1.5487
403.735;-1.75288
331.069;1.04511
383.707;0.163422
432.613;1.08731
537.58;1.09041
581.835;1.17539
547.772;1.16705
537.826;-1.63255
425.763;1.56808
425.619;1.03668
420.079;0.12351
357.624;1.10542
381.358;1.13496
357.413;1.17395
357.425;0.490784
400.034;1.21217
537.813;1.22916
717.555;-1.24145
717.59;0.967048
823.39;0.218215
823.4;1.06339
899.032;-1.36279
823.39;0.197762
785.573;1.30763
828.684;-0.809111
886.054;-0.867904
900.877;1.33318
892.284;0.690151
888.452;1.39397
898.491;0.235426
899.035;-1.16095
882.237;1.25846
941.687;1.32363
961.165;0.104719
819.561;1.06161
853.737;-1.51287
735.315;0.962298
898.524;1.31767
914.691;-0.466224
776.062;-0.485265
734.938;-1.33992
717.592;1.31609
691.916;1.10365
754.476;-1.31183
606.69;1.63421
833.428;-0.850923
823.369;-1.43816
833.428;-0.866207
886.054;-0.85895
901.784;1.33187
892.28;0.337036
898.469;1.10908
931.72;1.53028
918.6;1.12342
915.662;0.109124
829.597;-0.232306
908.847;0.997268
931.719;1.44232
956.421;0.158158
819.561;1.06146
853.737;-1.51277
735.315;0.962326
898.524;1.31755
914.691;-0.466193
776.062;-0.485238
734.938;-1.33989
717.592;1.31601
691.916;1.10368
754.476;-1.3118
606.69;1.63424
833.428;-0.85089
823.369;-1.43813
833.428;-0.853333
823.369;-1.43798
833.428;-0.85334
823.369;-1.43799
833.428;-0.853347
823.369;-1.43799
833.428;-0.853354
823.369;-1.438
833.428;-0.853361
823.369;-1.43801
833.428;-0.853368
823.369;-1.43792
833.428;-0.853276
823.369;-1.43798
833.428;-0.853344
823.369;-1.43799
833.428;-0.853351
823.369;-1.438
833.428;-0.853358
823.369;-1.43801
833.428;-0.853365
823.369;-1.43801
833.428;-0.853372
823.369;-1.43792
833.428;-0.853281
823.369;-1.43799
833.428;-0.853348
823.369;-1.438
833.428;-0.853355
823.369;-1.438
833.428;-0.853362
823.369;-1.43801
833.428;-0.853369
823.369;-1.43792
833.428;-0.853278
823.369;-1.43799
833.428;-0.853346
823.369;-1.43799
833.428;-0.853353
823.369;-1.438
833.428;-0.85336
823.369;-1.43801
833.428;-0.853366
823.369;-1.43792
833.428;-0.853275
823.369;-1.43798
833.428;-0.853343
823.369;-1.43799
833.428;-0.85335
823.369;-1.438
833.428;-0.853357
823.369;-1.438
833.428;-0.853364
823.369;-1.43801
833.428;-0.853371
823.369;-1.43792
833.428;-0.85328
823.369;-1.43799
833.428;-0.853347
823.369;-1.43799
833.428;-0.853354
823.369;-1.438
833.428;-0.853361
823.369;-1.43801
833.428;-0.853368
823.369;-1.43792
833.428;-0.853277
823.369;-1.43798
833.428;-0.853344
823.369;-1.43799
833.428;-0.853351
823.369;-1.438
833.428;-0.853358
823.369;-1.43801
833.428;-0.853365
823.369;-1.43801
833.428;-0.853372
823.369;-1.43792
833.428;-0.853281
823.369;-1.43799
833.428;-0.853349
823.369;-1.438
833.428;-0.853356
823.369;-1.438
833.428;-0.853363
