p1;p2
0;10
-81986.9;1.27115
-83592.1;0.867447
-86369.7;-0.411602
-82971;1.14622
-84597.1;-0.406102
-88470.5;0.849228
-86899.2;-1.09045
-81966;-1.17669
-70820.4;-0.308588
-69578.1;-0.756365
-63897.4;-0.838944
-63310.9;-0.734168
-63310.9;-0.453442
-59674.7;-0.493639
-61322.1;1.3009
-59674.8;-1.24538
-47524.1;-1.06527
-47534.3;-0.118823
-45916.2;-0.777639
-34755.5;-1.19911
-34773.7;-0.240489
-34752.4;-0.850825
-34753.6;-0.589857
-27850.6;-1.39047
-20740.4;-1.53789
-20600;0.712552
-19348.8;1.08543
-18344.5;-1.32137
-19349.5;0.185969
-16809;-1.47427
-16187.9;-0.100628
-16480.7;-0.296005
-16739.8;1.2383
-20975.7;-0.0470587
-19384.2;-0.245532
-20354.6;1.3258
-23404.2;-0.602435
-22364.5;-0.761457
-19733.4;-0.474701
-20389.2;-0.549451
-23606.8;0.664382
-25987.4;-0.277786
-25987.4;-0.277079
