p1;p2
0;0
0.161149;0.0261203
-6.41427;41.1542
6.57093;43.178
0.105229;-0.0137109
7.56225;57.1961
-7.69458;59.2132
7.82394;61.2251
-7.95291;63.2437
8.07635;65.2426
8.07766;65.2488
8.07707;65.2397
8.07657;65.2312
8.07598;65.2221
8.07561;65.2147
8.07503;65.2056
8.07444;65.1965
8.07394;65.1881
8.07335;65.179
8.07276;65.1699
8.07226;65.1614
8.07167;65.1523
8.07109;65.1432
8.07058;65.1348
8.07013;65.1267
8.06962;65.1183
8.06904;65.1092
8.06845;65.1001
8.06795;65.0916
8.06736;65.0825
8.06677;65.0734
8.06627;65.065
8.06581;65.057
8.06522;65.0479
8.06472;65.0394
8.06413;65.0303
8.06363;65.0219
8.06304;65.0128
8.06245;65.0037
8.06186;64.9945
8.06136;64.9861
8.0609;64.9781
8.0604;64.9696
8.05981;64.9605
8.05922;64.9514
8.05871;64.943
8.05813;64.9339
8.05754;64.9248
8.05703;64.9163
8.05657;64.9083
8.05607;64.8998
8.05548;64.8907
8.05489;64.8816
8.05438;64.8732
8.0538;64.8641
8.05321;64.855
8.0527;64.8465
8.05224;64.8385
8.05174;64.83
8.05115;64.8209
8.05056;64.8118
8.05005;64.8034
8.04946;64.7943
8.04887;64.7852
8.04836;64.7767
8.04791;64.7687
8.0474;64.7603
8.04681;64.7511
8.04622;64.742
8.04571;64.7336
8.04512;64.7245
8.04453;64.7154
8.04402;64.7069
8.04357;64.6989
8.04306;64.6905
8.04247;64.6814
8.04188;64.6723
8.04137;64.6638
8.04078;64.6547
8.04019;64.6456
8.03981;64.6382
8.03922;64.6291
8.03863;64.62
8.03812;64.6116
8.03753;64.6025
8.03702;64.594
8.03656;64.586
8.03605;64.5775
8.03546;64.5684
8.03487;64.5593
8.03436;64.5509
8.03377;64.5418
8.03318;64.5327
8.03267;64.5242
8.03221;64.5162
8.0317;64.5078
8.03111;64.4986
8.03052;64.4895
8.03001;64.4811
8.02942;64.472
8.02882;64.4629
